Country,LE
United States,77.2804878
Thailand,77.344
Sweden,82.40731707
Spain,82.33414634
Morocco,76.901
New Zealand,82.05609756
Poland,76.6
Lebanon,79
Honduras,75.4
Colombia,77.5
