Country,Date,Confirmed_Cases,Confirmed_Deaths
Afghanistan,7/1/2022,182594,7723
Australia,7/1/2022,8194909,9984
Cameroon,7/1/2022,120068,1931
Croatia,7/1/2022,1149575,16070
Germany,7/1/2022,28392629,141292
Kazakhstan,7/1/2022,1396044,19018
Mozambique,7/1/2022,228022,2212
Slovakia,7/1/2022,2551116,20147
Turkey,7/1/2022,15123331,99032
United States,7/1/2022,86983511,1013084
Vietnam,7/1/2022,10747397,43087
